S1,7503450.308,4692293.686,898.659,,898.659,1969-12-31,16:00:00,0.000
S2,7503451.926,4692309.692,903.566,,903.566,1969-12-31,16:00:00,0.000
3,7503457.929,4692288.900,0.000,,0.000,1969-12-31,16:00:00,0.000
S3,7503469.073,4692296.889,902.003,,902.003,2020-07-08,14:07:50,
CP1,7503450.305,4692293.680,898.696,,898.696,2020-07-08,14:08:12,
SI-3,7503457.914,4692288.889,898.158,,898.158,2020-07-08,14:12:33,
11,7503470.503,4692277.496,0.000,,0.000,1969-12-31,16:00:00,0.000
SI-11,7503470.502,4692277.508,896.721,,896.721,2020-07-08,14:21:31,
7,7503471.498,4692273.859,0.000,,0.000,1969-12-31,16:00:00,0.000
8,7503474.376,4692283.435,0.000,,0.000,1969-12-31,16:00:00,0.000
SI-7,7503471.498,4692273.866,895.566,,895.566,2020-07-08,14:29:30,
10,7503474.376,4692283.435,0.000,,0.000,1969-12-31,16:00:00,0.000
SI-10,7503474.376,4692283.433,899.040,,899.040,2020-07-08,14:37:59,
12,7503476.741,4692298.250,0.000,,0.000,1969-12-31,16:00:00,0.000
13,7503478.758,4692298.013,0.000,,0.000,1969-12-31,16:00:00,0.000
SI-12,7503476.751,4692298.252,903.344,,903.344,2020-07-08,14:43:54,
SI-13,7503478.764,4692298.013,903.511,,903.511,2020-07-08,14:47:26,
14,7503488.129,4692296.916,0.000,,0.000,1969-12-31,16:00:00,0.000
14_stk,7503488.125,4692296.931,904.011,|14,904.011,2020-07-08,14:56:26,
S4,7503420.316,4692253.512,891.381,,891.381,1969-12-31,16:00:00,0.000
S5,7503480.389,4692273.967,896.619,,896.619,2020-07-08,15:13:10,
CP2,7503450.306,4692293.683,898.632,,898.632,2020-07-08,15:13:27,
A8,7503490.926,4692259.565,0.000,,0.000,1969-12-31,16:00:00,0.000
9,7503489.644,4692276.691,0.000,,0.000,1969-12-31,16:00:00,0.000
SI-9,7503489.646,4692276.692,898.234,,898.234,2020-07-08,15:21:32,
SI-8,7503490.928,4692259.563,891.762,,891.762,2020-07-08,15:29:21,
5,7503466.971,4692265.744,0.000,,0.000,1969-12-31,16:00:00,0.000
6,7503468.620,4692264.281,0.000,,0.000,1969-12-31,16:00:00,0.000
SI-5,7503466.981,4692265.750,891.949,,891.949,2020-07-08,15:44:04,
SI-6,7503468.696,4692264.200,891.573,,891.573,2020-07-08,15:47:55,
736152,7503492.135,4692243.417,0.000,,0.000,1969-12-31,16:00:00,0.000
S6,7503485.098,4692218.587,880.588,,880.588,1969-12-31,16:00:00,0.000
S7,7503439.714,4692243.749,886.722,,886.722,1969-12-31,16:00:00,0.000
S8,7503484.966,4692238.001,881.270,,881.270,2020-07-08,16:12:37,
CP3,7503485.106,4692218.578,880.580,,880.580,2020-07-08,16:12:55,
736152_stk,7503492.155,4692243.431,884.904,|736152,884.904,2020-07-08,16:17:30,
736182,7503486.126,4692243.803,0.000,,0.000,1969-12-31,16:00:00,0.000
736184,7503468.598,4692251.699,0.000,,0.000,1969-12-31,16:00:00,0.000
736182_stk,7503486.125,4692243.797,884.637,|736182,884.637,2020-07-08,16:21:08,
736184_stk,7503468.595,4692251.700,886.317,|736184,886.317,2020-07-08,16:23:51,
S10,7503456.721,4692230.510,884.056,,884.056,1969-12-31,16:00:00,0.000
S11,7503492.000,4692222.309,879.965,,879.965,1969-12-31,16:00:00,0.000
S12,7503486.499,4692238.499,881.159,,881.159,2020-07-10,12:44:11,
15,7503467.255,4692259.740,0.000,,0.000,1969-12-31,16:00:00,0.000
16,7503487.262,4692243.730,0.000,,0.000,1969-12-31,16:00:00,0.000
15_stk,7503467.255,4692259.741,889.314,|15,889.314,2020-07-10,12:47:41,
17,7503494.702,4692237.215,0.000,,0.000,1969-12-31,16:00:00,0.000
16_stk,7503487.261,4692243.723,883.082,|16,883.082,2020-07-10,12:52:27,
17_stk,7503494.682,4692237.218,880.934,|17,880.934,2020-07-10,12:55:17,
736150,7503497.466,4692233.583,0.000,,0.000,1969-12-31,16:00:00,0.000
736151,7503502.845,4692234.117,0.000,,0.000,1969-12-31,16:00:00,0.000
736150_stk,7503497.448,4692233.591,880.462,|736150,880.462,2020-07-10,13:01:16,
736151_stk,7503502.820,4692234.124,881.013,|736151,881.013,2020-07-10,13:03:33,
100,7503502.779,4692234.203,881.034,ARMATUR,881.034,2020-07-10,13:04:24,
